slug,type,title,subtitle,series,highlight,prefix,suffix,note
seoul-lunch-prices,stat,What a restaurant meal costs in Seoul right now,"July 2026 Seoul averages, converted at ₩1,383/USD (Aug 24, 2026).","Samgyetang ₩18,192=13.15|Naengmyeon ₩12,692=9.18|Gimbap ₩3,869=2.80","Gimbap ₩3,869",$,,Source: Korea Consumer Agency (참가격) monthly dining-out survey.
dining-inflation-by-dish,bar,Korea's cheapest lunch is rising fastest,"Year-on-year change, June 2026. Gimbap led all eight dishes the agency tracks.",Gimbap=5.9|Samgyeopsal=4.3|Kalguksu=3.6|Naengmyeon=2.8|Samgyetang=2.8|Jajangmyeon=2.1,Gimbap,,%,Source: Korea Consumer Agency (참가격); June 2026 vs June 2025.
gimbap-ingredients,bar,Why gimbap got expensive,Year-on-year change in its three core ingredients.,Rice=13.2|Eggs=9.0|Gim (seaweed)=2.5,Rice,,%,Source: Statistics Korea; Q2 2026 vs Q2 2025.
ramen-packet-korea-vs-us,bar,Korea's priciest channel still beats America's cheapest,"Nongshim Shin Ramyun, one packet. Converted at ₩1,383/USD.","Korean mart=0.57|Korean 24-hour shop=0.72|US bulk pack, per packet=0.90|US supermarket, per packet=1.12",Korean 24-hour shop,$,,Sources: Korean retail pricing; US 16-pack and 18-pack listings.
ramen-cup-vs-packet,stat,Cup noodles up. Packets untouched.,Shipment-price changes announced for the 2026 round.,Nongshim cups (Aug 1)=+6.0|Paldo cups (Sept 1)=+5.5|Every packet ramen=0,Every packet ramen,,%,"Sources: company announcements as reported, Aug 2026."
seoul-lunch-ladder,bar,Four ways to eat lunch in Seoul,"Typical prices, August 2026. Converted at ₩1,383/USD.",Rice triangle + cup ramen=1.81|Gimbap roll from a shop=2.80|Convenience-store lunchbox=3.62|Naengmyeon at a restaurant=9.18,Convenience-store lunchbox,$,,Sources: Korea Consumer Agency (참가격) for restaurant items; retail pricing for convenience-store items.
konbini-lunch-growth,column,Convenience-store lunch is still growing — more slowly,CU lunchbox sales growth. 2026 is first half only.,2024=24.0|2025=19.7|2026 H1=11.3,,,%,"Source: CU sales figures as reported, 2026."
konbini-korea-vs-us,stat,"The same chain, two very different lunches",7-Eleven meal deals. Both are the chain's standard lunch offer.,Korea: rice lunchbox=3.62|US: hot sandwich + drink=6.00,Korea: rice lunchbox,$,,Sources: Korean retail pricing; 7-Eleven US $6 Sandwich Meal Deal (loyalty price).
part6-night-anxiety-reasons,bar,What makes a street frightening is emptiness,"Reasons given by Koreans who said they feel anxious walking alone at night. Respondents could choose more than one, so the shares do not sum to 100%.",Incidents I hear about in the news=46.3|Too few people around=26.4|Too little lighting or patrol=16.9,Too few people around,,%,"Source: Statistics Korea, 2024 Social Survey."
part7-fibre-cost-per-home,bar,The expensive part of fibre is distance,"One mile of buried fibre costed at $70,000 — the midpoint of the range US industry sources cite — divided by the number of homes that mile reaches.","Rural mile, 8 homes=8,750|Suburban street, 50 homes=1,400|Dense low-rise, 150 homes=467|One apartment tower, 500 homes=140","One apartment tower, 500 homes",$,,"Arithmetic on a cited per-mile cost, not a survey of built projects. US industry estimates put the cost per home passed at $700–$2,700."
part8-overnight-decline,bar,"What closes overnight, closes for good","Venues still trading, as a share of their own starting year. Convenience stores trim hours instead of shutting: 24.6% of GS25 stores no longer open around the clock, up from 15.0% in 2019.","PC bangs, 2019 → 2023=65.5|Seoul bathhouses, 1995 → 2025=28.9","Seoul bathhouses, 1995 → 2025",,%,"Sources: iLovePCBang industry survey (11,871 PC bangs in 2019, 7,773 in 2023). Analysis of Seoul bathhouse licensing records (1,764 in 1995, 510 in 2025). Korean press reporting on GS25 overnight-operation ratios."
part5-wage-floor-trend,column,Ten raises in Korea. One frozen number in America.,"South Korea's statutory minimum wage per hour, which covers restaurant servers like everyone else. The US federal tipped minimum wage has been $2.13 an hour since 1991.","2017=6,470|2018=7,530|2019=8,350|2020=8,590|2021=8,720|2022=9,160|2023=9,620|2024=9,860|2025=10,030|2026=10,320",2026,₩,,"Sources: Korea Ministry of Employment and Labor, annual minimum wage decisions. US Department of Labor, federal tipped minimum wage."
